loss,val_loss,learning_rate
0.00023434084141626954,0.0009929609950631857,0.0010000000474974513
0.00023179873824119568,0.0009333499474450946,0.0010000000474974513
0.00021758407820016146,0.0009067755308933556,0.0010000000474974513
0.00021264895622152835,0.0008981580613180995,0.0010000000474974513
0.00020759584731422365,0.0009262179373763502,0.0010000000474974513
0.0002054758951999247,0.0008999643032439053,0.0010000000474974513
0.0002059733378700912,0.0009057927527464926,0.0010000000474974513
0.00020059662347193807,0.0008506426238454878,0.0010000000474974513
0.00019516631436999887,0.0008509699255228043,0.0010000000474974513
0.000190731676411815,0.0008199968142434955,0.0010000000474974513
